participant_id_3,time_point,knowledge_general_score,knowledge_warning_score,knowledge_appropriate_score,knowledge_helpful_score,system_support_score,status,inclusive_status,region,attitude_general_score,attitude_acceptability_score,attitude_genderroles_score,attitude_profroles_score,empathy_score,confidence_score,practice_score
175,1,78.94736842105263,55.55555555555556,20,40,83.33333333333334,One & two only,One & two inclusive,Liquica,55.00000000000001,100,50,75,48.4375,35,NA
184,1,68.42105263157895,100,20,40,0,All three,One & two inclusive,Liquica,62.5,14.285714285714285,33.33333333333333,79.16666666666666,57.8125,50,NA
186,1,84.21052631578947,100,20,40,0,One & two only,One & two inclusive,Liquica,65,14.285714285714285,33.33333333333333,79.16666666666666,56.25,50,NA
189,1,73.68421052631578,77.77777777777779,20,30,83.33333333333334,One only,NA,Liquica,45,64.28571428571429,54.166666666666664,45.83333333333333,56.25,55.00000000000001,NA
180,1,73.68421052631578,88.88888888888889,80,70,50,One only,NA,Liquica,47.5,71.42857142857143,58.333333333333336,75,82.8125,45,NA
192,1,78.94736842105263,77.77777777777779,80,90,83.33333333333334,One & two only,One & two inclusive,Liquica,60,28.57142857142857,66.66666666666666,75,56.25,40,NA
193,1,57.89473684210527,66.66666666666666,20,90,0,All three,One & two inclusive,Liquica,52.5,50,45.83333333333333,62.5,71.875,42.5,NA
194,1,52.63157894736842,66.66666666666666,60,20,83.33333333333334,All three,One & two inclusive,Liquica,50,85.71428571428571,37.5,33.33333333333333,57.8125,42.5,NA
195,1,84.21052631578947,100,100,60,50,All three,One & two inclusive,Liquica,60,50,41.66666666666667,66.66666666666666,68.75,40,NA
200,1,52.63157894736842,33.33333333333333,20,30,16.666666666666664,One only,NA,Liquica,42.5,64.28571428571429,62.5,50,59.375,30,NA
201,1,52.63157894736842,100,80,50,100,All three,One & two inclusive,Liquica,52.5,28.57142857142857,50,62.5,79.6875,62.5,NA
202,1,57.89473684210527,88.88888888888889,80,60,33.33333333333333,One & two only,One & two inclusive,Liquica,47.5,64.28571428571429,58.333333333333336,62.5,54.6875,50,100
204,1,73.68421052631578,66.66666666666666,60,60,50,One & three only,NA,Liquica,52.5,100,66.66666666666666,70.83333333333334,62.5,35,NA
176,1,52.63157894736842,22.22222222222222,20,40,50,One & two only,One & two inclusive,Liquica,45,50,62.5,66.66666666666666,51.5625,47.5,77.77777777777779
206,1,73.68421052631578,66.66666666666666,60,80,50,One & two only,One & two inclusive,Liquica,70,78.57142857142857,50,75,65.625,45,NA
29,1,78.94736842105263,66.66666666666666,60,90,100,One only,NA,NA,55.00000000000001,100,58.333333333333336,54.166666666666664,84.375,65,NA
179,1,78.94736842105263,88.88888888888889,20,40,100,One & two only,One & two inclusive,Liquica,52.5,100,50,75,46.875,37.5,NA
